,Domain,Phylum,Class,Order,Family,Genus
Seq299,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq300,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq301,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq302,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq303,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq304,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,
Seq305,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum
Seq306,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq307,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq308,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq309,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq310,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,
Seq311,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq312,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq313,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,
Seq314,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina
Seq315,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq316,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq317,Bacteria,Cyanobacteria,Chloroplast,,,
Seq318,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq319,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,
Seq320,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade
Seq321,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,
Seq322,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq323,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq324,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq325,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq326,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq327,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq328,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq329,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq330,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq331,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,
Seq332,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq333,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella
Seq334,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,,
Seq335,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group
Seq336,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum
Seq337,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq338,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,
Seq339,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq340,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq341,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq342,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq343,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq344,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq345,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,
Seq346,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq347,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq348,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq349,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq350,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq351,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq352,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq353,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq354,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq355,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,
Seq356,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq357,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq358,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,
Seq359,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq360,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq361,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq362,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,
Seq363,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq364,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq365,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq366,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq367,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,
Seq368,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Arenicella
Seq369,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq370,Bacteria,Cyanobacteria,Chloroplast,,,
Seq371,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq372,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq373,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq374,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq375,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq376,Bacteria,Verrucomicrobia,Arctic97B-4 marine group,,,
Seq377,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq378,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,,
Seq379,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq380,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,
Seq381,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,uncultured
Seq382,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,
Seq383,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq384,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq385,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq386,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq387,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq388,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18 freshwater group,
Seq389,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq390,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq391,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq392,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq393,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq394,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq395,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq396,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq397,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq398,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,
Seq399,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Chesapeake-Delaware Bay,
Seq400,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq401,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq402,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq403,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq404,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq405,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq406,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,
Seq407,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq408,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq409,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq410,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq411,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq412,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq413,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq414,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq415,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq416,Bacteria,Chloroflexi,SAR202 clade,,,
Seq417,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq418,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,
Seq419,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq420,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq421,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq422,Archaea,Thaumarchaeota,Marine Group I,,,
Seq423,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,,
Seq424,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade OCT lineage
Seq425,Bacteria,Verrucomicrobia,Arctic97B-4 marine group,,,
Seq426,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq427,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18 freshwater group,
Seq428,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq429,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq430,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq431,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq432,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq433,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq434,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq435,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq436,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq437,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq438,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq439,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq440,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq441,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq442,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq443,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq444,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq445,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq446,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq447,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq448,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq449,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus
Seq450,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq451,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq452,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq453,Bacteria,Cyanobacteria,Chloroplast,,,
Seq454,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq455,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq456,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq457,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq458,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,
Seq459,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq460,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq461,Bacteria,Proteobacteria,Elev-16S-509,,,
Seq462,Bacteria,Cyanobacteria,Chloroplast,,,
Seq463,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq464,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq465,Archaea,Thaumarchaeota,Marine Group I,,,
Seq466,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq467,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq468,Bacteria,Cyanobacteria,Chloroplast,,,
Seq469,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq470,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq471,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq472,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq473,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia
Seq474,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,
Seq475,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,
Seq476,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq477,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq478,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured
Seq479,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia
Seq480,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq481,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq482,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq483,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,OM43 clade
Seq484,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq485,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq486,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq487,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq488,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq489,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq490,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq491,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq492,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq493,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq494,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq495,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq496,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq497,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum
Seq498,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq499,Bacteria,Cyanobacteria,Chloroplast,,,
Seq500,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq501,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq502,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq503,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq504,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq505,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq506,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq507,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade
Seq508,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq509,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq510,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq511,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq512,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq513,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq514,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Zunongwangia
Seq515,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum
Seq516,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Seq517,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq518,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq519,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq520,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,
Seq521,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group
Seq522,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq523,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq524,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,
Seq525,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,
Seq526,Archaea,Thaumarchaeota,Marine Group I,,,
Seq527,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,
Seq528,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq529,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq530,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,
Seq531,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq532,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq533,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq534,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum
Seq535,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq536,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,NS7 marine group
Seq537,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq538,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq539,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq540,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq541,Archaea,Thaumarchaeota,Marine Group I,,,
Seq542,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq543,Archaea,Thaumarchaeota,Marine Group I,,,
Seq544,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq545,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group
Seq546,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,
Seq547,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,
Seq548,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Seq549,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq550,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq551,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq552,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq553,Archaea,Thaumarchaeota,Marine Group I,,,
Seq554,Bacteria,Proteobacteria,Elev-16S-509,,,
Seq555,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq556,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq558,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,
Seq559,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group
Seq560,Archaea,Thaumarchaeota,Marine Group I,,,
Seq561,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,
Seq562,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq563,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq564,Archaea,Thaumarchaeota,Marine Group I,,,
Seq565,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq566,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq567,Bacteria,Cyanobacteria,Chloroplast,,,
